ocel:eid,ocel:activity,ocel:timestamp,Actor,ocel:type:ocel:oid
0,create,2017-04-02 23:59:00,daniel fullarton,['create']
1,pull,2017-04-03 00:01:00,asf github,['pull']
2,request,2017-04-03 00:01:00,asf github,['pull']
3,resolve,2017-04-03 00:01:00,asf github,['request']
4,merge,2017-04-03 00:01:00,asf github,['pull']
5,pull,2017-04-03 00:01:00,asf github,['pull']
6,request,2017-04-03 00:01:00,asf github,['pull']
7,pull,2017-04-03 00:01:00,asf github,['pull']
8,apply,2017-04-03 00:01:00,asf github,['review']
9,patch,2017-04-03 00:01:00,asf github,['change']
10,close,2017-04-03 00:01:00,asf github,['change']
11,pull,2017-04-03 00:01:00,asf github,['pull']
12,request,2017-04-03 00:01:00,asf github,['pull']
13,make,2017-04-03 00:01:00,asf github,['pull']
14,commit,2017-04-03 00:01:00,asf github,['request']
15,commit,2017-04-03 00:01:00,asf github,['request']
16,close,2017-04-03 00:01:00,asf github,['change']
17,commit,2017-04-03 00:01:00,asf github,['request']
18,resolve,2017-04-03 00:01:00,asf github,['request']
19,fix,2017-04-04 13:33:00,zoran regvart,['fix']
20,pull,2017-04-05 01:38:00,asf github,['pull']
21,request,2017-04-05 01:38:00,asf github,['pull']
22,pull,,asf github,['pull']
23,request,,asf github,['pull']
24,pull,2017-04-03 07:44:00,asf github,['pull']
25,request,2017-04-03 07:44:00,asf github,['pull']
26,fix,2017-04-12 08:46:00,zoran regvart,['resolution']
27,fix,,zoran regvart,['resolution']
28,fix,2017-04-03 08:05:00,zoran regvart,['resolution']
29,pull,2017-04-03 08:14:00,asf github,['onders86']
30,request,2017-04-03 08:14:00,asf github,['pull']
31,pull,,asf github,['onders86']
32,request,,asf github,['pull']
33,add,2017-04-03 09:48:00,camel11100,['summary']
34,use,2017-04-03 09:48:00,camel11100,['configure']
35,fix,2017-04-03 09:48:00,camel11100,['priority']
36,work,2017-04-03 09:56:00,camel11100,['work']
37,update,2017-04-03 11:37:00,atlassian jira,['summary']
38,affect,2017-04-03 11:37:00,atlassian jira,['component']
39,update,2017-04-03 11:37:00,atlassian jira,['summary']
40,fix,2017-04-03 11:37:00,atlassian jira,['version']
41,fix,2017-04-03 11:37:00,atlassian jira,['version']
42,fix,2017-04-04 12:37:00,claus ibsen,['resolution']
43,fix,,claus ibsen,['resolution']
44,pull,2017-04-03 13:52:00,asf github,['onders86']
45,request,2017-04-03 13:52:00,asf github,['request']
46,get,2017-04-03 13:52:00,asf github,['websocket']
47,set,2017-04-03 13:52:00,asf github,['merge']
48,merge,2017-04-03 13:52:00,asf github,['merge']
49,pull,2017-04-03 13:52:00,asf github,['onders86']
50,request,2017-04-03 13:52:00,asf github,['request']
51,pull,2017-04-03 13:52:00,asf github,['onders86']
52,apply,2017-04-03 13:52:00,asf github,['review']
53,patch,2017-04-03 13:52:00,asf github,['change']
54,close,2017-04-03 13:52:00,asf github,['change']
55,pull,2017-04-03 13:52:00,asf github,['onders86']
56,request,2017-04-03 13:52:00,asf github,['request']
57,make,2017-04-03 13:52:00,asf github,['pull']
58,commit,2017-04-03 13:52:00,asf github,['request']
59,commit,2017-04-03 13:52:00,asf github,['request']
60,close,2017-04-03 13:52:00,asf github,['change']
61,commit,2017-04-03 13:52:00,asf github,['request']
62,get,2017-04-03 13:52:00,asf github,['websocket']
63,set,2017-04-03 13:52:00,asf github,['merge']
64,fix,2017-04-04 14:38:00,claus ibsen,['resolution']
65,pull,2017-04-04 15:42:00,asf github,['onders86']
66,request,2017-04-04 15:42:00,asf github,['pull']
67,pull,,asf github,['onders86']
68,request,,asf github,['pull']
69,affect,2017-04-04 06:53:00,ayush dixit,['component']
70,set,2017-04-04 06:53:00,ayush dixit,['producer']
71,use,2017-04-04 06:56:00,andrea cosentino,['camel']
72,set,2017-04-04 06:58:00,ayush dixit,['producer']
73,set,2017-04-04 06:59:00,ayush dixit,['producer']
74,set,2017-04-04 06:59:00,ayush dixit,['producer']
75,set,2017-04-04 06:59:00,ayush dixit,['producer']
76,set,2017-04-04 07:00:00,ayush dixit,['producer']
77,set,2017-04-04 07:00:00,ayush dixit,['producer']
78,set,,ayush dixit,['producer']
