Id,Event,Object,Actor,Timestamp
0,create,create,daniel fullarton,"Sun, 02 Apr, 23:59"
1,pull,pull,asf github,"Mon, 03 Apr, 00:01"
1,request,pull,asf github,"Mon, 03 Apr, 00:01"
1,resolve,request,asf github,"Mon, 03 Apr, 00:01"
1,merge,pull,asf github,"Mon, 03 Apr, 00:01"
1,pull,pull,asf github,"Mon, 03 Apr, 00:01"
1,request,pull,asf github,"Mon, 03 Apr, 00:01"
1,pull,pull,asf github,"Mon, 03 Apr, 00:01"
1,apply,review,asf github,"Mon, 03 Apr, 00:01"
1,patch,change,asf github,"Mon, 03 Apr, 00:01"
1,close,change,asf github,"Mon, 03 Apr, 00:01"
1,pull,pull,asf github,"Mon, 03 Apr, 00:01"
1,request,pull,asf github,"Mon, 03 Apr, 00:01"
1,make,pull,asf github,"Mon, 03 Apr, 00:01"
1,commit,request,asf github,"Mon, 03 Apr, 00:01"
1,commit,request,asf github,"Mon, 03 Apr, 00:01"
1,close,change,asf github,"Mon, 03 Apr, 00:01"
1,commit,request,asf github,"Mon, 03 Apr, 00:01"
1,resolve,request,asf github,"Mon, 03 Apr, 00:01"
2,fix,fix,zoran regvart,"Tue, 04 Apr, 13:33"
3,pull,pull,asf github,"Wed, 05 Apr, 01:38"
3,request,pull,asf github,"Wed, 05 Apr, 01:38"
4,pull,pull,asf github,nan
4,request,pull,asf github,nan
5,pull,pull,asf github,"Mon, 03 Apr, 07:44"
5,request,pull,asf github,"Mon, 03 Apr, 07:44"
7,fix,resolution,zoran regvart,"Wed, 12 Apr, 08:46"
8,fix,resolution,zoran regvart,nan
10,fix,resolution,zoran regvart,"Mon, 03 Apr, 08:05"
11,pull,onders86,asf github,"Mon, 03 Apr, 08:14"
11,request,pull,asf github,"Mon, 03 Apr, 08:14"
12,pull,onders86,asf github,nan
12,request,pull,asf github,nan
13,add,summary,camel11100,"Mon, 03 Apr, 09:48"
13,use,configure,camel11100,"Mon, 03 Apr, 09:48"
13,fix,priority,camel11100,"Mon, 03 Apr, 09:48"
14,work,work,camel11100,"Mon, 03 Apr, 09:56"
17,update,summary,atlassian jira,"Mon, 03 Apr, 11:37"
17,affect,component,atlassian jira,"Mon, 03 Apr, 11:37"
17,update,summary,atlassian jira,"Mon, 03 Apr, 11:37"
17,fix,version,atlassian jira,"Mon, 03 Apr, 11:37"
17,fix,version,atlassian jira,"Mon, 03 Apr, 11:37"
18,fix,resolution,claus ibsen,"Tue, 04 Apr, 12:37"
19,fix,resolution,claus ibsen,nan
22,pull,onders86,asf github,"Mon, 03 Apr, 13:52"
22,request,request,asf github,"Mon, 03 Apr, 13:52"
22,get,websocket,asf github,"Mon, 03 Apr, 13:52"
22,set,merge,asf github,"Mon, 03 Apr, 13:52"
22,merge,merge,asf github,"Mon, 03 Apr, 13:52"
22,pull,onders86,asf github,"Mon, 03 Apr, 13:52"
22,request,request,asf github,"Mon, 03 Apr, 13:52"
22,pull,onders86,asf github,"Mon, 03 Apr, 13:52"
22,apply,review,asf github,"Mon, 03 Apr, 13:52"
22,patch,change,asf github,"Mon, 03 Apr, 13:52"
22,close,change,asf github,"Mon, 03 Apr, 13:52"
22,pull,onders86,asf github,"Mon, 03 Apr, 13:52"
22,request,request,asf github,"Mon, 03 Apr, 13:52"
22,make,pull,asf github,"Mon, 03 Apr, 13:52"
22,commit,request,asf github,"Mon, 03 Apr, 13:52"
22,commit,request,asf github,"Mon, 03 Apr, 13:52"
22,close,change,asf github,"Mon, 03 Apr, 13:52"
22,commit,request,asf github,"Mon, 03 Apr, 13:52"
22,get,websocket,asf github,"Mon, 03 Apr, 13:52"
22,set,merge,asf github,"Mon, 03 Apr, 13:52"
23,fix,resolution,claus ibsen,"Tue, 04 Apr, 14:38"
24,pull,onders86,asf github,"Tue, 04 Apr, 15:42"
24,request,pull,asf github,"Tue, 04 Apr, 15:42"
25,pull,onders86,asf github,nan
25,request,pull,asf github,nan
26,affect,component,ayush dixit,"Tue, 04 Apr, 06:53"
26,set,producer,ayush dixit,"Tue, 04 Apr, 06:53"
28,use,camel,andrea cosentino,"Tue, 04 Apr, 06:56"
29,set,producer,ayush dixit,"Tue, 04 Apr, 06:58"
30,set,producer,ayush dixit,"Tue, 04 Apr, 06:59"
31,set,producer,ayush dixit,"Tue, 04 Apr, 06:59"
31,set,producer,ayush dixit,"Tue, 04 Apr, 06:59"
32,set,producer,ayush dixit,"Tue, 04 Apr, 07:00"
32,set,producer,ayush dixit,"Tue, 04 Apr, 07:00"
33,set,producer,ayush dixit,nan
33,set,producer,ayush dixit,nan
34,add,camel11103,andrea cosentino,"Tue, 04 Apr, 07:11"
35,add,camel11103,andrea cosentino,nan
38,affect,component,ayush dixit,"Tue, 04 Apr, 07:32"
38,find,location,ayush dixit,"Tue, 04 Apr, 07:32"
38,set,producer,ayush dixit,"Tue, 04 Apr, 07:32"
39,use,resolution,claus ibsen,"Tue, 04 Apr, 07:36"
41,do,,andrea cosentino,"Tue, 04 Apr, 07:49"
41,open,issue,andrea cosentino,"Tue, 04 Apr, 07:49"
42,do,,andrea cosentino,nan
42,open,issue,andrea cosentino,nan
46,see,documentsas,,"Tue, 04 Apr, 08:25"
46,use,port,,"Tue, 04 Apr, 08:25"
48,work,port,,"Mon, 10 Apr, 15:50"
48,request,discover,,"Mon, 10 Apr, 15:50"
48,make,sense,,"Mon, 10 Apr, 15:50"
49,see,see,,"Tue, 18 Apr, 07:44"
49,provide,code,,"Tue, 18 Apr, 07:44"
49,provide,code,,"Tue, 18 Apr, 07:44"
49,do,documentation,,"Tue, 18 Apr, 07:44"
49,add,statement,,"Tue, 18 Apr, 07:44"
49,close,statement,,"Tue, 18 Apr, 07:44"
49,do,documentation,,"Tue, 18 Apr, 07:44"
49,create,,,"Tue, 18 Apr, 07:44"
49,see,see,,"Tue, 18 Apr, 07:44"
52,allow,summary,david franke,"Tue, 04 Apr, 09:00"
52,send,osgi,david franke,"Tue, 04 Apr, 09:00"
52,use,task,david franke,"Tue, 04 Apr, 09:00"
52,try,event,david franke,"Tue, 04 Apr, 09:00"
52,get,event,david franke,"Tue, 04 Apr, 09:00"
